source,target,out_provider,in_provider,weight
RLT,RQ3,GEORGE ELIOT HOSPITAL NHS TRUST,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,16
RK5,RTG,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,DERBY HOSPITALS NHS FOUNDATION TRUST,3
RJC,R0A,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,2
RTG,RJE,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,81
RYJ,RH5,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,SOMERSET NHS FOUNDATION TRUST,3
RA9,RN7,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,DARTFORD AND GRAVESHAM NHS TRUST,2
RWJ,RVY,STOCKPORT NHS FOUNDATION TRUST,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,2
RHQ,RJ2,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,LEWISHAM AND GREENWICH NHS TRUST,1
RR7,RWD,GATESHEAD HEALTH NHS FOUNDATION TRUST,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,1
RGP,RM3,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,1
RWE,RWP,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,2
RNQ,RYJ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,1
RH8,REF,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ROYAL CORNWALL HOSPITALS NHS TRUST,13
RVJ,R0D,NORTH BRISTOL NHS TRUST,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,2
RJ1,RBL,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,1
RK9,RL4,PLYMOUTH HOSPITALS NHS TRUST,THE ROYAL WOLVERHAMPTON NHS TRUST,1
RKE,RQ3,THE WHITTINGTON HOSPITAL NHS TRUST,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,1
RR8,RXN,LEEDS TEACHING HOSPITALS NHS TRUST,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,2
RD1,RPA,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,MEDWAY NHS FOUNDATION TRUST,1
RLQ,REM,WYE VALLEY NHS TRUST,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1
RXW,RHQ,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,111
RH5,RA2,SOMERSET PARTNERSHIP NHS FOUNDATION TRUST,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,5
REF,RVW,ROYAL CORNWALL HOSPITALS NHS TRUST,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,1
RMP,RXR,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,EAST LANCASHIRE HOSPITALS NHS TRUST,1
RN5,RHM,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,632
RXL,R0A,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,972
RN5,RHU,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,PORTSMOUTH HOSPITALS NHS TRUST,8
RTK,RJZ,ASHFORD AND ST. PETER'S HOSPITALS NHS FOUNDATION TRUST,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,99
RXN,R0A,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,772
RTK,RYR,ASHFORD AND ST. PETER'S HOSPITALS NHS FOUNDATION TRUST,WESTERN SUSSEX HOSPITALS NHS TRUST,2
RR8,RP5,LEEDS TEACHING HOSPITALS NHS TRUST,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,2
RKE,R1K,WHITTINGTON HEALTH NHS TRUST,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,2
R1K,RF4,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",2
RBN,RBS,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,63
RNA,RL4,THE DUDLEY GROUP NHS FOUNDATION TRUST,THE ROYAL WOLVERHAMPTON NHS TRUST,2178
RXK,RQ3,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,143
RBD,RHM,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,300
RR8,RWY,LEEDS TEACHING HOSPITALS NHS TRUST,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,910
RJE,RQ3,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,21
RR7,R0B,GATESHEAD HEALTH NHS FOUNDATION TRUST,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,319
RJ6,RJ1,CROYDON HEALTH SERVICES NHS TRUST,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,641
RC9,RDU,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,FRIMLEY HEALTH NHS FOUNDATION TRUST,10
RYJ,RKE,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,WHITTINGTON HEALTH NHS TRUST,98
RNZ,RHM,SALISBURY NHS FOUNDATION TRUST,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,394
RRF,R0A,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,1787
RAJ,RF4,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",372
RC9,RQ3,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,3
RH5,RVJ,SOMERSET NHS FOUNDATION TRUST,NORTH BRISTOL NHS TRUST,538
RKE,RF4,THE WHITTINGTON HOSPITAL NHS TRUST,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",3
RJ7,RAX,ST GEORGE'S HEALTHCARE NHS TRUST,KINGSTON HOSPITAL NHS FOUNDATION TRUST,10676
RC9,RYJ,LUTON AND DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,39
R1H,RHU,BARTS HEALTH NHS TRUST,PORTSMOUTH HOSPITALS NHS TRUST,4
RXL,RXR,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,EAST LANCASHIRE HOSPITALS NHS TRUST,54
RCD,RCB,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,1730
REM,RBN,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,122
RKE,RF4,WHITTINGTON HEALTH NHS TRUST,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",4
RJL,RTG,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,DERBY HOSPITALS NHS FOUNDATION TRUST,1
RWW,RBN,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,612
RRV,R1K,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,LONDON NORTH WEST HEALTHCARE NHS TRUST,6
RVW,RTD,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,303
RDU,RA2,FRIMLEY HEALTH NHS FOUNDATION TRUST,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,473
RXN,RBS,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,4
RKE,RJZ,THE WHITTINGTON HEALTH NHS TRUST,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,17
RC9,RJ1,LUTON AND DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,1421
RWD,RFS,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,2
RJ2,RJ1,LEWISHAM HEALTHCARE NHS TRUST,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,8564
RQW,RAL,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,ROYAL FREE LONDON NHS FOUNDATION TRUST,41
RC9,RGT,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1020
RJZ,RJ1,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,3154
RA4,RBD,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,488
REM,RFF,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,2
RM3,RBN,SALFORD ROYAL NHS FOUNDATION TRUST,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,2
RBK,RJE,WALSALL HEALTHCARE NHS TRUST,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,75
RXL,REM,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,10
RAS,RF4,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",4
RBN,REM,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,839
RRV,RAL,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ROYAL FREE LONDON NHS FOUNDATION TRUST,1300
RVV,RWF,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,434
RJN,RWJ,EAST CHESHIRE NHS TRUST,STOCKPORT NHS FOUNDATION TRUST,1254
RVV,RJ1,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,1797
RC9,RTH,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3
RXF,RR8,MID YORKSHIRE TEACHING NHS TRUST,LEEDS TEACHING HOSPITALS NHS TRUST,1075
RC9,RWH,LUTON AND DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,EAST AND NORTH HERTFORDSHIRE NHS TRUST,2852
RR8,RTD,LEEDS TEACHING HOSPITALS NHS TRUST,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,17
R1K,RJ1,LONDON NORTH WEST HEALTHCARE NHS TRUST,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,4708
RK9,RA7,PLYMOUTH HOSPITALS NHS TRUST,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,120
REF,RTH,ROYAL CORNWALL HOSPITALS NHS TRUST,OXFORD UNIVERSITY HOSPITALS NHS TRUST,19
RTE,RLQ,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,WYE VALLEY NHS TRUST,13
RBT,RJR,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,7
RAJ,RM1,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,16
RM3,RFS,SALFORD ROYAL NHS FOUNDATION TRUST,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,2
RC9,RDE,LUTON AND DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,5
RVJ,RH8,NORTH BRISTOL NHS TRUST,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,38
R1H,RYJ,BARTS HEALTH NHS TRUST,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,23
RGR,RWH,WEST SUFFOLK NHS FOUNDATION TRUST,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,5
RN5,RJZ,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,18
RCU,RWD,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,70
RQ3,RWJ,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,STOCKPORT NHS FOUNDATION TRUST,1
RBN,RJR,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,1
RAE,RK5,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,2
RHM,RN3,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,2
RTH,RXF,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,MID YORKSHIRE HOSPITALS NHS TRUST,1
RK9,RHM,PLYMOUTH HOSPITALS NHS TRUST,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,1
RWA,RLT,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,GEORGE ELIOT HOSPITAL NHS TRUST,1
RHW,RF4,ROYAL BERKSHIRE NHS FOUNDATION TRUST,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",1
RNN,RTD,CUMBRIA PARTNERSHIP NHS FOUNDATION TRUST,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,1909
RTP,RJ7,SURREY AND SUSSEX HEALTHCARE NHS TRUST,ST GEORGE'S HEALTHCARE NHS FOUNDATION TRUST,865
RA7,RH5,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,SOMERSET NHS FOUNDATION TRUST,8
RAJ,R1H,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,BARTS HEALTH NHS TRUST,529
RMP,RM3,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,3
RJ7,RDU,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,87
RVY,REM,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,603
RWG,RWH,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,4115
RWG,R1K,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,LONDON NORTH WEST HEALTHCARE NHS TRUST,50
RRV,RQM,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,30
R0A,RW6,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,PENNINE ACUTE HOSPITALS NHS TRUST,4
RYR,RJ7,WESTERN SUSSEX HOSPITALS NHS TRUST,ST GEORGE'S HEALTHCARE NHS TRUST,408
R0B,RXP,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,84
RM3,RW6,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,PENNINE ACUTE HOSPITALS NHS TRUST,6
RVR,RAX,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,KINGSTON HOSPITAL NHS FOUNDATION TRUST,46
R0D,RTH,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,OXFORD UNIVERSITY HOSPITALS NHS TRUST,9
RGR,RDE,WEST SUFFOLK NHS FOUNDATION TRUST,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,1852
R1H,RJ7,BARTS HEALTH NHS TRUST,ST GEORGE'S HEALTHCARE NHS TRUST,1
RRK,RQ3,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,1073
RTK,RJ7,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2487
RJ7,RTK,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ASHFORD AND ST. PETER'S HOSPITALS NHS FOUNDATION TRUST,266
RDU,RJ1,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,2312
RVJ,RTE,NORTH BRISTOL NHS TRUST,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,171
REM,RFF,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,4
RTF,R0B,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,72
RN5,RDU,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,FRIMLEY HEALTH NHS FOUNDATION TRUST,1167
RVV,RJ7,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,87
RJ1,RHU,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,4
RQM,RKE,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,WHITTINGTON HEALTH NHS TRUST,77
RRV,RFS,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,1
RBL,RM3,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,2
RAS,RWH,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,1619
RBL,RRF,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,"WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST",1
RRV,RAP,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,1328
RJL,RP5,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,11
RGT,RKB,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,9
RWJ,RJR,STOCKPORT NHS FOUNDATION TRUST,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,2
RN5,R1K,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,2
REM,RJR,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,3
RQW,R0A,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,1
RJ1,RHW,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,ROYAL BERKSHIRE NHS FOUNDATION TRUST,2
RDE,RTK,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,ASHFORD AND ST. PETER'S HOSPITALS NHS FOUNDATION TRUST,1
RM1,RXF,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,MID YORKSHIRE HOSPITALS NHS TRUST,2
RH8,RBD,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1
RHW,RTD,ROYAL BERKSHIRE NHS FOUNDATION TRUST,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,1
RVJ,RNQ,NORTH BRISTOL NHS TRUST,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,1
RHM,RJ2,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,LEWISHAM AND GREENWICH NHS TRUST,2
RBD,REF,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,ROYAL CORNWALL HOSPITALS NHS TRUST,1
RXN,RQW,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,1
RYR,RTP,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,SURREY AND SUSSEX HEALTHCARE NHS TRUST,94
RX1,RVJ,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,NORTH BRISTOL NHS TRUST,3
RYR,RAX,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,3
RQM,RVR,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,4
RXN,RNN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,CUMBRIA PARTNERSHIP NHS FOUNDATION TRUST,51
RN3,RAS,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,1
RQ3,RK5,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,6
RNZ,RN5,SALISBURY NHS FOUNDATION TRUST,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,7
RJ7,RNS,ST GEORGE'S HEALTHCARE NHS FOUNDATION TRUST,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,1
RTH,RVV,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,5
RGR,RN5,WEST SUFFOLK NHS FOUNDATION TRUST,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,1
RCD,RTF,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,1
RGT,RJE,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,3
RXW,RHU,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,1
REM,RXR,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,EAST LANCASHIRE HOSPITALS NHS TRUST,2
RK5,RGT,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,22
RD1,RHM,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,4
RHM,RBT,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,1
RRV,RJE,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,2
RXK,RTH,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,OXFORD UNIVERSITY HOSPITALS NHS TRUST,1
R1K,RWF,LONDON NORTH WEST HEALTHCARE NHS TRUST,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,2
RTR,RKE,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,WHITTINGTON HEALTH NHS TRUST,2
R1H,RR8,BARTS HEALTH NHS TRUST,LEEDS TEACHING HOSPITALS NHS TRUST,1
RWW,RBN,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,410
RPA,RWF,MEDWAY NHS FOUNDATION TRUST,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,208
RRF,RXN,"WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST",LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,12
RHM,RHU,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,PORTSMOUTH HOSPITALS NHS TRUST,8
RYJ,RJ7,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ST GEORGE'S HEALTHCARE NHS TRUST,4
RYJ,RKE,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,THE WHITTINGTON HEALTH NHS TRUST,77
RWW,RBN,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,409
RKE,RAL,WHITTINGTON HEALTH NHS TRUST,ROYAL FREE LONDON NHS FOUNDATION TRUST,638
RC9,RGT,LUTON AND DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1256
RNQ,RTH,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,11
RTP,RWG,SURREY AND SUSSEX HEALTHCARE NHS TRUST,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,1
RJN,RM3,EAST CHESHIRE NHS TRUST,SALFORD ROYAL NHS FOUNDATION TRUST,8
