source,target,out_provider,in_provider,weight
RQX,R1K,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,16
RJ7,RN7,ST GEORGE'S HEALTHCARE NHS FOUNDATION TRUST,DARTFORD AND GRAVESHAM NHS TRUST,19
RP5,RXL,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,2
RH5,RL4,SOMERSET PARTNERSHIP NHS FOUNDATION TRUST,THE ROYAL WOLVERHAMPTON NHS TRUST,1
RA7,RHU,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,4
RBD,RHQ,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,1
R1H,RWD,BARTS HEALTH NHS TRUST,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,4
RH5,RWE,SOMERSET PARTNERSHIP NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,1
RTX,REF,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,ROYAL CORNWALL HOSPITALS NHS TRUST,1
RDE,RJ7,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1
REF,RYJ,ROYAL CORNWALL HOSPITALS NHS TRUST,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,2
RGR,RCX,WEST SUFFOLK NHS FOUNDATION TRUST,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",2
RTP,R0D,SURREY AND SUSSEX HEALTHCARE NHS TRUST,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,1
RWA,RN5,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,1
RHM,RWH,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,11
RCU,RJ1,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,7
RK5,RX1,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,12727
RL4,RJE,THE ROYAL WOLVERHAMPTON NHS TRUST,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,777
RTK,R1H,ASHFORD AND ST. PETER'S HOSPITALS NHS FOUNDATION TRUST,BARTS HEALTH NHS TRUST,4
RC9,RDU,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,8
RHU,RTH,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1
RP5,RR8,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,LEEDS TEACHING HOSPITALS NHS TRUST,6
RLT,RWE,GEORGE ELIOT HOSPITAL NHS TRUST,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,93
RYR,RHU,WESTERN SUSSEX HOSPITALS NHS TRUST,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,205
RJE,RQ3,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,30
RXF,RCU,MID YORKSHIRE HOSPITALS NHS TRUST,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,45
RR8,RTG,LEEDS TEACHING HOSPITALS NHS TRUST,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,4
RWG,RAS,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,3
REM,RBN,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,233
