Code,Name,Postcode,latitude,longitude,geocoded
RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,DE22 3NE,52.910425,-1.513523,True
RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,LE1 5WW,52.6268,-1.135953,True
RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,LA9 7RG,54.306116,-2.731605,True
RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,ST4 6QG,53.003262,-2.211798,True
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,PL6 8DH,50.416707,-4.113712,True
RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,BN11 2DH,50.816683,-0.363404,True
RQF,VELINDRE NHS TRUST,CF15 7QZ,51.565918,-3.277885,True
RBK,WALSALL HEALTHCARE NHS TRUST,WS2 9PS,52.582346,-1.998918,True
RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,WA5 1QG,53.393989,-2.610717,True
RT4,WELSH AMBULANCE SERVICES NHS TRUST,LL17 0LJ,53.252387,-3.478568,True
RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,WD18 0HB,51.648926,-0.404165,True
RKL,WEST LONDON NHS TRUST,UB2 4SD,51.506315,-0.358547,True
RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,TW7 6AF,51.473648,-0.324413,True
RYA,WEST MIDLANDS AMBULANCE SERVICE UNIVERSITY NHS FOUNDATION TRUST,DY5 1LX,52.485661,-2.119039,True
RGR,WEST SUFFOLK NHS FOUNDATION TRUST,IP33 2QZ,52.231679,0.709205,True
RA3,WESTON AREA HEALTH NHS TRUST,BS23 4TQ,51.322331,-2.971405,True
RKE,WHITTINGTON HEALTH NHS TRUST,N19 5NF,51.566482,-0.139066,True
RN1,WINCHESTER AND EASTLEIGH HEALTHCARE NHS TRUST,SO22 5DG,51.0617,-1.329159,True
RY7,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,CH42 0LQ,53.380046,-3.026531,True
RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,CH49 5PE,53.36964,-3.096815,True
RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,WR5 1DD,52.191205,-2.181154,True
